country,logistics_service
IT,云途-云途全球专线挂号（特惠带电）
IL,燕文新系统-燕文专线快递-特货
AU,视感4PX-联邮通定制产品-澳洲Aupost-带电
FR,云途-云途全球精选专线挂号（特惠带电）
GB,云途-云途全球云选专线挂号（带电）
UK,云途-云途全球云选专线挂号（带电）
CH,燕文新系统-燕文专线快递-特货
KR,燕文新系统-燕文专线追踪-特货
CA,燕文新系统-燕文专线追踪-特货
CZ,云途-云途全球专线挂号（特惠带电）
LT,燕文新系统-燕文专线追踪-特货
ES,云途-云途全球专线挂号（特惠带电）
SG,视感4PX-4PX-S邮速递
MX,燕文新系统-燕文专线追踪-特货
BE,云途-云途全球专线挂号（特惠带电）
SK,云途-云途全球专线挂号（特惠带电）
TR,燕文新系统-燕文专线快递-特货
FI,燕文新系统-燕文专线快递-特货
UA,燕文新系统-燕文专线追踪-特货
AE,燕文新系统-燕文专线追踪-特货
AM,自定义-法世威快递专线
NZ,燕文新系统-燕文专线追踪-特货
UZ,自定义-法世威快递专线
IN,燕文新系统-燕文专线追踪-特货
PL,云途-云途全球专线挂号（特惠带电）
MY,视感顺丰国际-国际电商专递-CD
HR,云途-云途全球专线挂号（特惠带电）
RO,云途-云途全球专线挂号（特惠带电）
NO,燕文新系统-燕文专线追踪-特货
DE,云途-云途全球云选专线挂号（带电）
PT,云途-云途中包专线挂号（特惠带电）
BG,云途-云途全球专线挂号（特惠带电）
AT,云途-云途全球专线挂号（特惠带电）
OM,自定义-法世威快递专线
LV,云途-云途全球专线挂号（特惠带电）
GR,云途-云途大货专线挂号（特惠带电）
NL,云途-云途中包专线挂号（特惠带电）
QA,云途-云途全球专线挂号（特惠带电）
TH,视感顺丰国际-国际电商专递-标准
PH,自定义-法世威快递专线
CY,自定义-法世威快递专线
TW,视感顺丰国际-国际电商专递-标准
